start,end,N,SS,TajD,FayH,FulD,ZngE,FerL,bsfs,Colless,btree,path,iColless,ibtree
0,10001.0,250,36,-1.361986969601221,-0.4281187880077243,1.9460894693888569,1.0439830220553203,-2.026865548427327,-2.129169931971671,0.06573908537375309,-2.3127724768598177,9070042,0.09376677215775543,-2.6977750128378277
0,10001.0,250,44,-1.4631915340182926,0.030175079829964407,1.1038295219292724,-1.4301510086203768,0.9886911078979996,-1.4486989276401812,0.06808686358336573,-1.4957012760994968,9070043,0.05487850017581848,-1.09956417349227
0,10001.0,250,69,-2.069970850966914,-0.568633577481933,-0.6028566239973348,1.3788997584944531,-2.8426947925983237,-2.647480273481583,0.08488389040031093,-2.9191199409494906,9070044,0.0773128355716774,-2.142101592951001
0,10001.0,250,55,-1.4558291232238922,-0.3241583195788716,0.6400270109984539,0.5073658179630344,-1.4209677577483335,-1.5956122253668423,0.08254145614716935,-2.4316170321227184,9070045,0.08175038865137971,-2.7796690671346984
0,10001.0,250,43,-0.7538423528277759,-0.11934869423141894,-0.0195705300655796,-0.018362980066789776,-0.3830666300245941,-0.4697676801720457,0.05050771442143381,-0.8875167319123979,9070046,0.06402671618373132,-1.7829039578428896
0,10001.0,250,62,-1.2307993863115716,-0.20511643573209395,1.9723230931146587,0.060638186414048924,-0.7469893943846659,-1.8946467205873712,0.06456085478627258,-1.4434886423403477,9070047,0.053099494753206376,-1.2883519753769128
0,10001.0,250,55,0.6426277015845803,0.11821755276502405,-0.6499569649883471,-0.08717709121510406,0.4574969144934967,1.8825200783645568,0.035737573951720863,0.1464843741491982,9070048,0.0443426933540614,-0.4650747182868565
0,10001.0,250,56,-1.9695936697896428,-0.4671249924009074,-0.37401914196813857,0.8479304528913248,-2.1234376199266762,-2.166308648765484,0.055200641274776516,-1.1327399846651518,9070049,0.066394610700868,-1.5581213412226165
0,10001.0,250,62,-0.6778456169506275,0.08619652830803452,-0.6239052371832595,-1.0774664859243217,0.9661970918763202,-0.2195543727816081,0.03574088982658746,-0.3003914843448342,9070050,0.05726130327762662,-1.7112433096165836
0,10001.0,250,49,-1.5438869386565413,-0.2486278235711228,-0.729036763370562,0.001328211017034759,-0.8372710178881321,-1.538678972017999,0.08072289156626508,-2.6065500779389867,9070051,0.056365245929956384,-1.4035390434299655
0,10001.0,250,59,0.3637318110248741,0.032841641587457816,-1.4112634450763508,0.1374159986441053,0.027741598034235013,0.8145522519995536,0.035139445434686466,0.3109796609467449,9070052,0.046103769918383206,-0.5011211398625913
0,10001.0,250,65,-0.2581638141746199,0.010647030143547313,0.923324655355105,-0.2873586385023702,0.215137033740074,-0.5882978029924789,0.03675809227694187,-0.2353358495661649,9070053,0.06198758166305776,-1.6135489664536593
0,10001.0,250,56,-1.1799122085654266,0.052933938850346064,2.163183710260017,-1.326188996626369,1.0037996533277531,-1.0322601611052755,0.0618390161748489,-1.1369691977838792,9070054,0.056733385153517286,-1.28070371362433
0,10001.0,250,56,-0.03866002440776497,0.0245739247044993,-1.0083198550251773,-0.16933858589173556,0.18909262736252416,0.6913200773148507,0.03285917865008421,0.3001898297670573,9070055,0.05269869801787797,-0.8531610738258583
0,10001.0,250,39,-1.0136973660037631,-0.3756775065439222,-1.4988376812542148,1.0941126767578162,-1.9043244428445445,-1.2780964834837891,0.060888716154942325,-1.304790953042697,9070056,0.07185840134732477,-1.7329913114564288
0,10001.0,250,47,-0.8880502635047741,-0.1694564929548291,2.347064816895815,0.14027166965967386,-0.6541156038433825,-1.8446275833177808,0.04966696597290162,-0.4843554442738929,9070057,0.05853830066811023,-1.1833450015561255
0,10001.0,250,64,-0.13986026355154724,0.026528022598273884,1.2627611239698229,-0.27175085837548035,0.2605246719921241,-0.4467743936336444,0.039473141834198984,-0.09619311104818687,9070058,0.060759165695038225,-1.8286012163052807
0,10001.0,250,83,1.5980119238902972,0.10853523332790883,-1.2284091364837617,0.7978790807158507,-0.10812074531488568,1.2263833569995235,0.03185820203892493,0.3551592697485301,9070059,0.04649889882109082,-0.4478602570580976
0,10001.0,250,38,-1.2898997549977516,0.02601644917985741,3.0622741223217984,-1.2464445578341592,0.8596856386250007,-1.5933847920043114,0.04395910253918901,-0.4264107745620601,9070060,0.06288379323746597,-1.8163972863997353
0,10001.0,250,78,1.0464961273004012,0.07132708803823815,0.7472299679940148,0.5215063749309056,-0.07073625842700852,1.9404579912065825,0.028066425293704532,0.4744863234142929,9070061,0.04336007624969925,-0.4178105717637297
0,10001.0,250,61,-1.3092049758915063,-0.24948041812397015,3.2220397177490683,0.2372442619932484,-1.0084356293962495,-1.9985720737569863,0.07917005264459598,-2.363566933532309,9070062,0.04775785168323062,-0.7452245120254618
0,10001.0,250,59,-1.6015878059814068,-0.4578147594867024,0.09938217464361268,1.1320106187681078,-2.2769259422268533,-2.0351400424807435,0.055195856740745966,-1.4117632671115845,9070063,0.05349971313826735,-0.9337381733377952
0,10001.0,250,44,-0.501167695050526,-0.0021420708992629213,2.687695800049966,-0.42326154212826345,0.2558923172768095,-1.1307249970837905,0.04667999956816513,-0.6736237106604692,9070064,0.05335049876927063,-0.9960129997573468
0,10001.0,250,59,-1.543501358505717,-0.0230620348594762,0.09938217464361276,-1.2281528206258274,0.6824043863031141,-1.5424735648387218,0.05141339551755409,-0.947460626330896,9070065,0.09691022153128644,-2.8776734624466656
0,10001.0,250,51,-0.8368578796876188,-0.22375609148145076,1.6046875306943498,0.4880469063413244,-1.0595594689410648,-1.2217901284331236,0.07282208010929347,-1.3950072641243376,9070066,0.07392914767574697,-2.57432820920909
