start,end,N,SS,TajD,FayH,FulD,FerL,bsfs,ZngE,Colless,btree,path,iColless,ibtree
0,100001.0,50,438,0.4630617226606478,0.049920701075729566,-0.6883380700989561,0.14857345304197586,0.8802627047089859,0.10901928424834433,0.1120621145654523,0.5922812220837685,8010047,0.12887779225165252,0.18160539310045767
0,100001.0,50,442,-0.18367387772576008,0.006325848093685625,0.5953253017412016,0.1616841838580417,-0.33992774667399284,-0.2366638881750337,0.1327634950083929,0.010846241841868522,8010048,0.1510940196974311,-0.7033831359755857
0,100001.0,50,442,0.00879794173999611,0.004163752670360709,-0.008030345006015297,0.029975221918775382,-0.07824265726141118,-0.021732757198460524,0.12106717687074832,0.02689490014802073,8010049,0.12896379024050564,-0.0799956768175826
0,100001.0,50,537,0.2715321257191671,-0.018144667730891986,-0.5345299064556684,-0.3139107091088663,0.01698364420933758,0.4158758231343816,0.11858347505668923,0.29620332003640754,8010050,0.1210977541701612,0.09455415218593546
0,100001.0,50,410,0.3415353044113466,0.062246250978453065,-0.3657914713712572,0.3238433181638597,1.0880667826609771,-0.10751341194712416,0.11998346824763415,0.4025422248327015,8010051,0.12865365926590416,0.06805723876155872
0,100001.0,50,459,0.052945871893104506,-0.019656986123894167,0.128559074477925,-0.1973043206008248,-0.051585684490869935,0.20036016405966092,0.1358607799555465,-0.2506757688252752,8010052,0.1304983857949959,-0.2274535651115548
0,100001.0,50,455,0.1841059065379318,0.03008635093397685,0.060934619713185374,0.14562977642418778,0.3877232146925027,-0.032514269167762705,0.10729558813816792,0.5726791503430808,8010053,0.1205072580213188,0.26651048479861666
0,100001.0,50,404,-0.06131338027371611,-0.013801329392971276,-0.4322690791204419,-0.08026984191952308,-0.01520731321171989,0.03870435748656464,0.12580061264271794,0.010324453707657465,8010054,0.12819763321995467,0.004338731396858332
0,100001.0,50,343,-0.06638157818382512,0.0643968399777738,0.11920526246957705,0.5805157596756679,0.526973345293835,-0.5428399934683397,0.08802406832298137,1.299949492811983,8010055,0.1007980115122972,0.7802640917227897
0,100001.0,50,428,-0.0594351142625842,0.024175260648627142,-0.6274010791778063,0.23907455829528296,0.10906270791750618,-0.2402856040976316,0.1096592706850182,0.5129640390180448,8010056,0.12599083111505474,-0.015307428295588269
0,100001.0,50,381,-0.1180102463220856,-0.056671695893518864,0.2843234990031259,-0.4079589743179275,-0.6877917311610756,0.29665398255785225,0.12032031355588604,-0.041428482492059514,8010057,0.1376538710722384,-0.3791470604852461
0,100001.0,50,429,-0.010710055546584513,0.020954427157391882,-0.012091234711158815,0.1831826737789776,0.19733315941772075,-0.16611861150481838,0.11239837398373996,0.34390832697596835,8010058,0.1352813852813853,-0.31025976176082204
